text,clean_text,true_label,svm_pred,lr_pred,bert_pred,ensemble_pred,ensemble_correct
#Uber and #Gautrain; how do I thank thee 👏🏽🙌🏽😄😭😭😀🎉,uber and gautrain how do thank thee,Positive,Neutral,Positive,Positive,Positive,True
Uh Oh. Bad Hombres' ... makes ya go Hhmmm.,uh oh bad hombres makes ya will hhmmm,Negative,Neutral,Negative,Negative,Negative,True
the amount of times I've said hallo and imitated Melania Trump tonight is at an all time high ahahaha,the amount of times ve said hallo and imitated melania trump tonight is at an all time high ahahaha,Positive,Neutral,Neutral,Neutral,Neutral,False
@user @user Co-owner of the Cubs Todd Ricketts appointed by Trump as Deputy Secretary of Commerce 😨 what the hell Lucifer,co owner of the cubs todd ricketts appointed by trump as deputy secretary of commerce what the hell lucifer,Negative,Neutral,Negative,Negative,Negative,True
@user Including the many innocent men women and children killed by his direct authorized drone strikes?,including the many innocent men women and children killed by his direct authorized drone strikes,Negative,Neutral,Negative,Negative,Negative,True
"""Of course they would cease; no Clinton in high power right now, so no cash! Watch Charity Foundation cease to exis…",of course they would cease not clinton in high power right now so not cash watch charity foundation cease to exis,Negative,Negative,Negative,Negative,Negative,True
"@user Let’s just say that after the whole #Comey election interference fiasco, I reserve judgement on anything they say. Or don't",lets just say that after the whole comey election interference fiasco reserve judgement on anything they say or has,Neutral,Neutral,Neutral,Neutral,Neutral,True
"I actually hate modern leftists, even though I am fairly left myself. They preach equality, yet when someone disagrees they resort to things",actually hate modern leftists even though am fairly left myself they preach equality yet when someone disagrees they resort to things,Negative,Neutral,Negative,Negative,Negative,True
"Just imagine, this is where kids play. Toxic fumes galore. #MosulOffensive #ChildrenFirst #Iraq via @user",just imagine this is where kids play toxic fumes galore mosuloffensive childrenfirst iraq via,Negative,Neutral,Neutral,Negative,Negative,True
#NeverRomey Come on Trump Transition Romney fought to defeat Trump Put this snake under his rock#NeverRomey,neverromey come on trump transition romney fought to defeat trump put this snake under his rockneverromey,Negative,Neutral,Negative,Negative,Negative,True
@user @user Because everyone knows it's George Soros?,because everyone knows it george soros,Negative,Neutral,Negative,Negative,Negative,True
Fire broke out in one of the #Palestinian shops in Occupied #Jerusalem,fire broke out in one of the palestinian shops in occupied jerusalem,Neutral,Negative,Negative,Negative,Negative,False
"@user Well, I doubt Saakashvili is above rent-an-angy-mob.",well doubt saakashvili is above rent an angy mob,Negative,Neutral,Negative,Negative,Negative,True
@user is it foggy? Foggy and cold in Tipp all week...,is it foggy foggy and cold in tipp all week,Negative,Neutral,Positive,Neutral,Neutral,False
@user really? 😦 Because I'm practicing vegetarianism and I've seen little results.,really because practicing vegetarianism and ve seen little results,Neutral,Negative,Neutral,Neutral,Neutral,True
"@user @user What trash did you put in that kids head? Shame on you-Or is he an idiot? probably, seems to run in the family",what trash did you put in that kids head shame on you or is he an idiot probably seems to run in the family,Negative,Negative,Negative,Negative,Negative,True
"Car Racing Art on Twitter: ""10 Cool Supercars of Cristiano Ronaldo",car racing art on twitter cool supercars of cristiano ronaldo,Neutral,Neutral,Neutral,Positive,Positive,False
Only nasty women and bad hombres would share this very unflattering picture of our Furhur. Be one of those.,only nasty women and bad hombres would share this very unflattering picture of our furhur be one of those,Neutral,Negative,Negative,Negative,Negative,False
OKAY if you haven't seen David Blaine's specials on Netflix watch them IMMEDIATELY,okay if you haven seen david blaine specials on netflix watch them immediately,Positive,Positive,Positive,Neutral,Neutral,False
@user Liberals prefer using waterguns filled with their own tears from Hillary losing the election.,liberals prefer using waterguns filled with their own tears from hillary losing the election,Negative,Neutral,Negative,Negative,Negative,True
Pope Francis has no authority to Allow anything. Seek Jesus not men. Priest can't forgive anything only God!!!,pope francis has not authority to allow anything seek jesus not men priest can forgive anything only god,Negative,Negative,Negative,Neutral,Neutral,False
"#OnThisDay in 1966, Taiyuan Party Chief Jia Jun admitted his statement ""It brings honour to Leftists when Rightists…",onthisday in taiyuan party chief jia jun admitted his statement it brings honour to leftists when rightists,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What an ass. Dems didn't think they needed fix Nov 8th, now got Jill shilling for #HRC. The same woman Stein said w…",what an ass dems didn think they needed fix nov th now got jill shilling for hrc the same woman stein said,Negative,Negative,Negative,Negative,Negative,True
Randall is not happy #ThisIsUs,randall is not happy thisisus,Negative,Positive,Positive,Negative,Negative,True
"After this medical marijuana card, nothing has been the same.",after this medical marijuana card nothing has been the same,Neutral,Neutral,Neutral,Neutral,Neutral,True
Image: The new Red Limit MESSI 16 boots that Leo Messi will wear for the first time this weekend against Real Socie…,image the new red limit messi boots that leo messi will wear for the first time this weekend against real socie,Neutral,Positive,Positive,Neutral,Neutral,True
HISTORY WILL NEVER FORGET THE NAME PRESIDENT BARACK OBAMA!THE 44TH #POTUS#ILoveObama #AnObamaCelebration…,history will never forget the name president barack obama the th potusiloveobama anobamacelebration,Positive,Positive,Positive,Positive,Positive,True
#DumpTrump #WillMissObama #ThankYouObama gets 'choked up' presenting Ellen DeGeneres with Medal of Freedom – video,dumptrump willmissobama thankyouobama gets choked up presenting ellen degeneres with medal of freedom video,Positive,Positive,Positive,Positive,Positive,True
Was able to get #hatchimals but no luck with the #NintendoClassicMini 😡 #blackfridayshopping,was able to get hatchimals but not luck with the nintendoclassicmini blackfridayshopping,Negative,Neutral,Neutral,Neutral,Neutral,False
A Democrat paid for by George Soros.,democrat paid for by george soros,Neutral,Neutral,Negative,Neutral,Neutral,True
Imagine that. And I bet in the election the candidate who wins the popular vote wins the election.…,imagine that and bet in the election the candidate who wins the popular vote wins the election,Neutral,Neutral,Neutral,Neutral,Neutral,True
Please don't leave us with him! #ThankYouObama,please has leave us with him thankyouobama,Negative,Positive,Positive,Positive,Positive,False
Yes I support equality for ALL and love gay marriage LAW. No you won't overturn it because you are scared of the LG…,yes support equality for all and love gay marriage law not you won overturn it because you are scared of the lg,Neutral,Positive,Negative,Positive,Positive,False
@user @user This guy will. Kansas has super voter registration laws & almost 0 fraud! If they put Kri…,this guy will kansas has super voter registration laws almost fraud if they put kri,Positive,Neutral,Neutral,Negative,Negative,False
"Draining the swamp, Part IITrump Stock In Dakota Access Oil Pipeline Raises Questions via @user",draining the swamp part iitrump stock in dakota access oil pipeline raises questions via,Neutral,Neutral,Neutral,Neutral,Neutral,True
Who will serve in President-elect Trump's Cabinet? 11-25-16 - News US UK CA AU,who will serve in president elect trump cabinet news us uk ca au,Neutral,Negative,Neutral,Neutral,Neutral,True
"@user @user I'm all for it until u get to ""Nazi"". Third leg of subculture that requires amputation",all for it until get to nazi third leg of subculture that requires amputation,Negative,Neutral,Negative,Negative,Negative,True
DJ&PK are giving away free @user tickets at Big O Tires 12600 South 4689 West until 10am. Get 2 tix while they last.,dj pk are giving away free tickets at big tires south west until am get tix while they last,Neutral,Neutral,Positive,Neutral,Neutral,True
@user @user you know she was bought and paid for a Pelosi wannabe,you know she was bought and paid for pelosi wannabe,Negative,Neutral,Negative,Negative,Negative,True
Nobody should be underestimating this recount. Came right after Trump said he'll pull out of TPP. It's not over until inauguration on Jan 20,nobody should be underestimating this recount came right after trump said he ll pull out of tpp it not over until inauguration on jan,Negative,Negative,Negative,Negative,Negative,True
@user @user and we've never crossed paths or tweets before but now we never will. Blocked. Go fuck Steve Bannon,and we ve never crossed paths or tweets before but now we never will blocked will fuck steve bannon,Negative,Neutral,Negative,Negative,Negative,True
ADULT Dating for you!!! #LessNoteworthyMovies #WednesdayWisdom #2016WasTheYearThatIFinally…,adult dating for you lessnoteworthymovies wednesdaywisdom wastheyearthatifinally,Neutral,Negative,Negative,Positive,Positive,False
@user I'm sure there is also big similarities between Verlander throwing and Serena Williams throwing.,sure there is also big similarities between verlander throwing and serena williams throwing,Neutral,Positive,Neutral,Neutral,Neutral,True
Interesting take on why not to protest Trump winning the presidency right now. The Right Way to Resist Trump,interesting take on why not to protest trump winning the presidency right now the right way to resist trump,Neutral,Negative,Negative,Neutral,Neutral,True
"He had Michael Moore camping on his doorstep like a groupie, played 'em like a pro—but does it matter now? Wait,…",he had michael moore camping on his doorstep like groupie played em like probut does it matter now wait,Negative,Neutral,Neutral,Negative,Negative,True
@user @user you mean George soros raised money.,you mean george soros raised money,Neutral,Positive,Negative,Neutral,Neutral,True
@user Gods natural fires being blamed by the nazi party of ISRAHELL on original jewish ancestors in the region. SHAME ON ZIONISTS,gods natural fires being blamed by the nazi party of israhell on original jewish ancestors in the region shame on zionists,Negative,Negative,Negative,Negative,Negative,True
This is a fabulous admission of error#NBAwards .@nationalbook,this is fabulous admission of errornbawards,Neutral,Negative,Negative,Positive,Positive,False
"North Korea is literally begging China to stop calling Kim Jong Un ""Kim Fatty the Third."" Politics at its finest.",north korea is literally begging china to stop calling kim jong un kim fatty the third politics at its finest,Neutral,Neutral,Negative,Negative,Negative,False
"#Libya's #oil output recovers to 567kbd bpd after power outage; political risk aside, other spoilers abound",libya oil output recovers to kbd bpd after power outage political risk aside other spoilers abound,Neutral,Neutral,Negative,Negative,Negative,False
"""Post-news, perhaps?""  ""An image of Melania Trump was posted on Fox News The FB Page, an entertainment page that…",post news perhaps an image of melania trump was posted on fox news the fb page an entertainment page that,Neutral,Neutral,Negative,Neutral,Neutral,True
#Luxury Dolce & Gabbana?s New Bag And T-Shirts Celebrate Gay Marriage,luxury dolce gabbana new bag and shirts celebrate gay marriage,Positive,Positive,Positive,Positive,Positive,True
"@user Do u honestly think Romo is better than Dak as a all around qb? Look at the record, turnovers ratio, n where tony is seated",do honestly think romo is better than dak as all around qb look at the record turnovers ratio where tony is seated,Negative,Positive,Neutral,Neutral,Neutral,False
"@user @user @user @user they're stupid then. Minimum wage, tax credits, new hospitals & schools. All Labour.",they re stupid then minimum wage tax credits new hospitals schools all labour,Negative,Neutral,Negative,Negative,Negative,True
Inspire and motivate your children or students by reading them the biography of San Antonio Spurs star Tim Duncan.,inspire and motivate your children or students by reading them the biography of san antonio spurs star tim duncan,Positive,Neutral,Positive,Neutral,Neutral,False
Can any one help me find a Hatchimal? I need one for each of my kiddies! I can't find stock anywhere 😰 #Hatchimals,can any one help me find hatchimal need one for each of my kiddies can find stock anywhere hatchimals,Neutral,Negative,Neutral,Neutral,Neutral,True
The only person self-interested #Saakashvili hasn't criticized in the Ukrainian govt is self-interested #Tymoshenko. #DestructiveForces,the only person self interested saakashvili hasn criticized in the ukrainian government is self interested tymoshenko destructiveforces,Negative,Neutral,Negative,Negative,Negative,True
@user You can't register to vote if you are not a citizen. Period. Stop your desperate conspiracy theories. She WON popular vote.,you can register to vote if you are not citizen period stop your desperate conspiracy theories she won popular vote,Negative,Negative,Negative,Negative,Negative,True
"@user India, I am sure top management/Admin would've fallen Prey to Leftists'/Psedoseculiars' setting tempetions -:)!",india am sure top management admin would ve fallen prey to leftists psedoseculiars setting tempetions,Negative,Neutral,Negative,Negative,Negative,True
"@user Yep true, that's why they partied hard ! :)",yep true that why they partied hard,Positive,Neutral,Negative,Neutral,Neutral,False
@user @user @user Way Romney talked about  98% that does not have wealth like him will turn into a nightmare for People,way romney talked about that does not have wealth like him will turn into nightmare for people,Negative,Negative,Negative,Negative,Negative,True
This cop actually brought a P90 Shapewood too kill hosts in westworld. I'M DYING,this cop actually brought shapewood too kill hosts in westworld dying,Negative,Negative,Negative,Neutral,Neutral,False
"@user Westworld.I think u would appreciate the amazing acting in that show.Also, robots!Speaking of robots,also check out Mr.Robot!",westworld think would appreciate the amazing acting in that show also robots speaking of robots also check out mr robot,Positive,Positive,Positive,Positive,Positive,True
@user @user @user Don't worry. Poroshenko made up for it.,has worry poroshenko made up for it,Neutral,Neutral,Neutral,Neutral,Neutral,True
For confirmation we'll go to Steve Bannon of #DarknessIsGood fame. @user @user @user @user @user,for confirmation we ll will to steve bannon of darknessisgood fame,Neutral,Neutral,Neutral,Neutral,Neutral,True
The latest Medical Cannabis Grow News! Thanks to @user @user @user #marijuana #cannabis,the latest medical cannabis grow news thanks to marijuana cannabis,Neutral,Neutral,Neutral,Neutral,Neutral,True
"I have good relationships with Hillary Clinton, Joseph Biden ... #MikheilSaakashvili #quotation",have good relationships with hillary clinton joseph biden mikheilsaakashvili quotation,Positive,Positive,Positive,Positive,Positive,True
@user @user @user  alt-right leaders are a pack of rabid dingos bad hombres in the hood!,alt right leaders are pack of rabid dingos bad hombres in the hood,Negative,Negative,Negative,Negative,Negative,True
These people are clutching their pearls over leftists hoping for Steven Woolfe's death.,these people are clutching their pearls over leftists hoping for steven woolfe death,Negative,Negative,Negative,Negative,Negative,True
@user you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,you were elected with promise to keep medicaid medicare paul ryan was not elected potus please do not kill his plan,Negative,Neutral,Negative,Negative,Negative,True
"If you celebrated Thanksgiving from abroad this year, send us photos from your experience & we can share them!…",if you celebrated thanksgiving from abroad this year send us photos from your experience we can share them,Positive,Negative,Positive,Positive,Positive,True
George Soros. A SS in the National Socialist German workers party. Nazi party. He served under Hitler. The Democrat…,george soros ss in the national socialist german workers party nazi party he served under hitler the democrat,Negative,Neutral,Negative,Negative,Negative,True
"Check out Part 1 of our #podcast series: Tackling the Flu, Naturally: Discovering #Homeopathy",check out part of our podcast series tackling the flu naturally discovering homeopathy,Neutral,Neutral,Neutral,Neutral,Neutral,True
"@user if this were true, it would be good... Because Assange would target Marine Le Pen",if this were true it would be good because assange would target marine le pen,Positive,Positive,Positive,Neutral,Neutral,False
The perfect Christmas gift for any lapsed Catholics or dentists that you only want to spend £2.60 on.…,the perfect christmas gift for any lapsed catholics or dentists that you only want to spend on,Neutral,Positive,Positive,Positive,Positive,False
wanting to vicariously live through someone else's abortion,wanting to vicariously live through someone else abortion,Neutral,Neutral,Negative,Neutral,Neutral,True
".@APHClarkson More realistic version: TRUMP: Putin is a great guy. POROSHENKO: I totally agree! TRUMP: That was a joke, dumb boy.",more realistic version trump putin is great guy poroshenko totally agree trump that was joke dumb boy,Positive,Negative,Negative,Positive,Positive,True
"@user yo, writing a paper on automation, can you send me stats on accidents in self driving cars thx bb",yo writing paper on automation can you send me stats on accidents in self driving cars thx bb,Neutral,Neutral,Neutral,Negative,Negative,False
"bitch tried knocking my hustle the other day. ""That's why you work at toys r us"" no bitch I got 2 jobs and I don't make minimum wage either💋",bitch tried knocking my hustle the other day that why you work at toys us not bitch got jobs and has let minimum wage either,Negative,Negative,Negative,Negative,Negative,True
"I would think Ben Carson would make a better Surgeon General than Housing and Urban Development Secretary, at first glance",would think ben carson would let better surgeon general than housing and urban development secretary at first glance,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user U off your rocker?  We are not supremacists but how can we trust someone like Romney who backed U among other things,off your rocker we are not supremacists but how can we trust someone like romney who backed among other things,Neutral,Negative,Negative,Neutral,Neutral,True
@user @user @user what does that have to do with PC? + she's only promoting her book. was a victim too.,what does that have to do with pc she only promoting her book was victim too,Neutral,Neutral,Neutral,Negative,Negative,False
Muhammad ali the great boxer speaks about his conversion to islam,muhammad ali the great boxer speaks about his conversion to islam,Positive,Positive,Neutral,Positive,Positive,True
Colour #3DPrinting is en vogue for luxury eyewear makers @user,colour dprinting is en vogue for luxury eyewear makers,Neutral,Positive,Neutral,Positive,Positive,False
@user Apparently it'll be based on the cubs oath. All immigrants will pledge to do their best and pay their duty to God and the Queen.,apparently it ll be based on the cubs oath all immigrants will pledge to do their best and pay their duty to god and the queen,Neutral,Positive,Positive,Neutral,Neutral,True
(Montreal Gazette):#Leonard #Cohen albums sell fast in Montreal : Since the singing poet..,montreal gazette leonard cohen albums sell fast in montreal since the singing poet,Positive,Neutral,Positive,Positive,Positive,True
"In this article, our Content Strategist, Michele Baker, takes an intriguing look at Google Earth VR, and where...",in this article our content strategist michele baker takes an intriguing look at google earth vr and where,Neutral,Positive,Neutral,Neutral,Neutral,True
"Chris + 15-char username is a doubt, the 'International Day of fossil fuels I got some music-related puns.",chris char username is doubt the international day of fossil fuels got some music related puns,Negative,Neutral,Negative,Negative,Negative,True
"EU is finished, in my opinion. Marine Le Pen will win France elections and try to get her country out of the union. #Renzi",eu is finished in my opinion marine le pen will win france elections and try to get her country out of the union renzi,Negative,Neutral,Negative,Negative,Negative,True
"Disgraceful, hope Trump dumps US puppet @user - how many thousands of  own citizens has Kiev regime killed? (…",disgraceful hope trump dumps us puppet how many thousands of own citizens has kiev regime killed,Negative,Neutral,Negative,Negative,Negative,True
"..... It has been a long time, sister.Seems you have been very busy playing with your robots. –Hmpf– @user",it has been long time sister seems you have been very busy playing with your robots hmpf,Neutral,Positive,Negative,Negative,Negative,False
"@user women's right to choose, opposing gay marriage",women right to choose opposing gay marriage,Neutral,Neutral,Neutral,Neutral,Neutral,True
"Steve Bannon is a misogynistic, white supremacist homophobe--and he's Trump's new top advisor. Take action:",steve bannon is misogynistic white supremacist homophobe and he trump new top advisor take action,Negative,Neutral,Neutral,Negative,Negative,True
I rated #ThisIsUs (S01E08) 5/5 on @user #MustWatch. Check out my review here,rated thisisus on mustwatch check out my review here,Positive,Positive,Positive,Positive,Positive,True
@user from @user  -  #rickymartin #JardinesDeMéxico ¡Gracias! 🙏🏻 #OneWorldTour #México #Meksika…,from rickymartin jardinesdemxico gracias oneworldtour mxico meksika,Positive,Neutral,Neutral,Positive,Positive,True
"Of all things ESPN's resident style guru picks, it's my vest? I'm wearing TONY ROMO SOCKS!",of all things espn resident style guru picks it my vest wearing tony romo socks,Neutral,Neutral,Neutral,Neutral,Neutral,True
ALL i ASK is for an ANSWER re #Aleppo either yes or no OR for u to post something #Aleppo related of ur own to help spread the word <3,all ask is for an answer re aleppo either yes or not or for to post something aleppo related of ur own to help spread the word,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user true  go nigel go i stay with brexit and now i hope early italyexit,true will nigel will stay with brexit and now hope early italyexit,Neutral,Neutral,Neutral,Neutral,Neutral,True
"@user fossil fuels are unbelievably harmful to the environment, and there are many people who are living on green energy and thriving",fossil fuels are unbelievably harmful to the environment and there are many people who are living on green energy and thriving,Neutral,Negative,Neutral,Neutral,Neutral,True
“Plus Size Model” Ashley Graham Admits She Wanted to Be Thinner (via etnow),plus size model ashley graham admits she wanted to be thinner via etnow,Neutral,Neutral,Neutral,Neutral,Neutral,True
And the spoiler I just read for episode 7 of #TheWalkingDead,and the spoiler just read for episode of thewalkingdead,Neutral,Positive,Neutral,Neutral,Neutral,True
@user @user @user @user @user @user how about the states Hillary won by less votes??? Them too?,how about the states hillary won by less votes them too,Negative,Negative,Negative,Negative,Negative,True
NW: #ScreamQueens ep. 5 Thank God Chanel # 5 is still alive! <3,nw screamqueens ep thank god chanel is still alive,Positive,Positive,Positive,Positive,Positive,True
#LoneStarGunRights Texas Gun Store Owner Appeared With Gun Control Group - But Why?. Read Blog:,lonestargunrights texas gun store owner appeared with gun control group but why read blog,Neutral,Neutral,Neutral,Neutral,Neutral,True
FrackNation HOT Documentary New Documentary...90min. #FRACKING #EDUCATIONAL VIDEO#HEALTH #ALERT#GEOENGINEERING,fracknation hot documentary new documentary min fracking educational videohealth alertgeoengineering,Neutral,Neutral,Neutral,Neutral,Neutral,True
"AUKEY Car Charger with Quick Charge 3.0 for LG G5, Samsung Galaxy S7/S6/Edge, Note 7/5/4",aukey car charger with quick charge for lg samsung galaxy edge note,Neutral,Neutral,Neutral,Neutral,Neutral,True
My new crush! 😍 #dontputyourfingerthere #shebites #armistice ##Westworld #WestworldFinale @user  @user,my new crush dontputyourfingerthere shebites armistice westworld westworldfinale,Positive,Positive,Positive,Positive,Positive,True
Y'all are surprised Kanye's brain broke?! David Blaine is a fucking DEMON YO!!!,all are surprised kanye brain broke david blaine is fucking demon yo,Negative,Negative,Negative,Negative,Negative,True
Bday whiskeys @user with local baskets of deplorables @user @user @user @user,bday whiskeys with local baskets of deplorables,Neutral,Neutral,Neutral,Neutral,Neutral,True
When all the poor whites who voted for Trump get their Medicaid taken from them I'ma be like ¯\_(ツ)_/¯,when all the poor whites who voted for trump get their medicaid taken from them ma be like,Negative,Negative,Negative,Negative,Negative,True
The latest Earth Echos Daily! Thanks to @user #yemen #archives,the latest earth echos daily thanks to yemen archives,Positive,Positive,Positive,Positive,Positive,True
"3D printing: it'll either teach you patience, or exhaust it!",printing it ll either teach you patience or exhaust it,Neutral,Neutral,Positive,Positive,Positive,False
"B. Comey’s failure to solve them, not a very disturbing—record.",comeys failure to solve them not very disturbingrecord,Negative,Negative,Negative,Negative,Negative,True
"@user I know the concept is foreign to you (or as you would say bad, bigly bad hombres but even fake sincerity should appear real",know the concept is foreign to you or as you would say bad bigly bad hombres but even fake sincerity should appear real,Negative,Negative,Negative,Neutral,Neutral,False
"#MuhammadAli Muhammad Ali Boxing #Poster ""Body and Soul"" 11x14 Mexican Lobby Card RARE #Legend #Boxer",muhammadali muhammad ali boxing poster body and soul mexican lobby card rare legend boxer,Neutral,Neutral,Neutral,Neutral,Neutral,True
A rally 3 years ago at the Capital. Why did Utah cut Medicaid for those in need like my brother? Assholes.,rally years ago at the capital why did utah cut medicaid for those in need like my brother assholes,Negative,Neutral,Neutral,Negative,Negative,True
@user The most annoying thing to me about the centrist scolds is how they pretend POC/queer/female leftists don't exist.,the most annoying thing to me about the centrist scolds is how they pretend poc queer female leftists has exist,Negative,Negative,Negative,Negative,Negative,True
@user             BBC Bullshit Baffles BrainsMarine Le Pen..,bbc bullshit baffles brainsmarine le pen,Negative,Negative,Negative,Negative,Negative,True
BritishVogue: Why Ashley’s our girl this month:,britishvogue why ashleys our girl this month,Neutral,Neutral,Negative,Neutral,Neutral,True
Black firday saleHead commissionsPersona 5 HUD commissions (best if you get both for $2 extra),black firday salehead commissionspersona hud commissions best if you get both for extra,Neutral,Positive,Positive,Neutral,Neutral,True
"Here comes Marine Le Pen, she is hoping for a similar upset next year in the French election, says Italy votes against EU...",here comes marine le pen she is hoping for similar upset next year in the french election says italy votes against eu,Negative,Negative,Neutral,Negative,Negative,True
@user @user ...time for you to go down to riverwalk for coffee !Buh bye......,time for you to will down to riverwalk for coffee buh bye,Neutral,Neutral,Neutral,Positive,Positive,False
"Liberals will make the SNL argument of ""it made Clinton unelectable!"" Leftists might say it's neoliberal individualism gone mad.",liberals will let the snl argument of it made clinton unelectable leftists might say it neoliberal individualism gone mad,Negative,Negative,Negative,Negative,Negative,True
@user @user Not so. Seems the #Kremlintrolls keep lying up a storm to blame UKR for #MH17 even though they've been debunked,not so seems the kremlintrolls keep lying up storm to blame ukr for mh even though they ve been debunked,Negative,Negative,Negative,Negative,Negative,True
"Mass immigration is turning communities into GHETTOS, report reveals | UK | News | Daily Express:",mass immigration is turning communities into ghettos report reveals uk news daily express,Negative,Negative,Negative,Neutral,Neutral,False
"RT @user Literal Nazi: ""I am a literal Nazi.""Media: ""This alt-right reactionary is stirring up nationalist fervor.""",literal nazi am literal nazi media this alt right reactionary is stirring up nationalist fervor,Negative,Negative,Negative,Negative,Negative,True
#Spurs #GoSpursGo 2008 Fleer #116 Tim Duncan PSA 10 Gem Mint Low POP 4 #TimDuncan #NBA,spurs gospursgo fleer tim duncan psa gem mint low pop timduncan nba,Positive,Neutral,Positive,Positive,Positive,True
@user my deep learning algorithm isn't though - training can take time.,my deep learning algorithm isn though training can take time,Negative,Neutral,Neutral,Negative,Negative,True
Robots endanger up to two-thirds of emerging economy jobs: UN,robots endanger up to two thirds of emerging economy jobs un,Neutral,Positive,Neutral,Neutral,Neutral,True
Service Pack 1 makes all SQL Server 2016 versions functionally identical.,service pack makes all sql server versions functionally identical,Neutral,Positive,Neutral,Neutral,Neutral,True
@user Kc still be thinking Broncos are the shit. Man he is crazier than hell. They the ones wanting Tony Romo 😂,kc still be thinking broncos are the shit man he is crazier than hell they the ones wanting tony romo,Negative,Negative,Negative,Negative,Negative,True
"@user although it'd be extra nice is Maduro (president of Venezuela, where i live) could be included in that pack with Fidel",although it be extra nice is maduro president of venezuela where live could be included in that pack with fidel,Negative,Positive,Neutral,Neutral,Neutral,False
Case-Mate: Samsung Galaxy Note 7 Case Collection – Free Shipping,case mate samsung galaxy note case collection free shipping,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user 1. Michell 2. Sookie  3. Ms patty. 4. Ms celine. #GilmoreGirlsTop4,michell sookie ms patty ms celine gilmoregirlstop,Neutral,Neutral,Neutral,Neutral,Neutral,True
Watch @user Thanksgiving Day #MannequinChallenge (Video),watch thanksgiving day mannequinchallenge video,Neutral,Positive,Positive,Neutral,Neutral,True
?UpWithWatts:Petition the Electoral College | Roger Wolfson,upwithwatts petition the electoral college roger wolfson,Neutral,Neutral,Neutral,Neutral,Neutral,True
Join me in ridding your house of #methane producing gas We don't need #fracking Seek @user from @user,join me in ridding your house of methane producing gas we has need fracking seek from,Negative,Neutral,Neutral,Negative,Negative,True
"Saakashvili talking about the risk of ""5,000 people taking over Kharkiv and Odesa"" and calls for early elections.https://t.co/X7xihw824v",saakashvili talking about the risk of people taking over kharkiv and odesa and calls for early elections,Neutral,Neutral,Negative,Neutral,Neutral,True
"Never change, offseason award season. That and plenty more in @user Wind Up:https://t.co/IJegpTZ7NY",never change offseason award season that and plenty more in wind up,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user @user  now we just need similar news about George Soros!,now we just need similar news about george soros,Neutral,Neutral,Neutral,Neutral,Neutral,True
I liked a @user video from @user DIL || NINJA || Valentines Special || New Punjabi Songs 2016 || FULL,liked video from dil ninja valentines special new punjabi songs full,Positive,Positive,Positive,Positive,Positive,True
@user Kim Jong Un needs to mix in a salad once in a while.,kim jong un needs to mix in salad once in while,Negative,Neutral,Neutral,Neutral,Neutral,False
#ICYMI @user @user @user team up for an epic commercial.@selenagomez gives an empowering speech.…,icymi team up for an epic commercial gives an empowering speech,Positive,Neutral,Negative,Positive,Positive,True
"#MuhammadAli Limited Edition Muhammad Ali Leather New Era Hat, With Tags Size 7 1/4 #Legend #Boxer",muhammadali limited edition muhammad ali leather new era hat with tags size legend boxer,Neutral,Neutral,Neutral,Neutral,Neutral,True
"@user HAS THE HILL REPORTED ON THE ANTI TRUMP RIOTS? LOOTING,BURNING DESTROYING BUSINESSES ? ARE THE THUGS  AND KIDS RUNNING OUR COUNTRY?",has the hill reported on the anti trump riots looting burning destroying businesses are the thugs and kids running our country,Negative,Negative,Negative,Negative,Negative,True
He's already ENRICHING HIMSELF by charging SS TOP price @user Towers Melania should b forced 2 live @user when time,he already enriching himself by charging ss top price towers melania should forced live when time,Negative,Neutral,Negative,Negative,Negative,True
"Read the first chapter of @user THE UNDERGROUND RAILROAD, Winner of the 2016 #NBAwards for Fiction",read the first chapter of the underground railroad winner of the nbawards for fiction,Neutral,Neutral,Neutral,Neutral,Neutral,True
"well if Trump AG goes after Clinton Foundation, Hillary can go after the Trump foundation & the GOP AG will look li…",well if trump ag goes after clinton foundation hillary can will after the trump foundation the gop ag will look li,Neutral,Neutral,Negative,Negative,Negative,False
Like how are you going to tell a woman who was raped she can't have an abortion. Controlling much? That makes no sense.,like how are you going to tell woman who was raped she can have an abortion controlling much that makes not sense,Negative,Negative,Negative,Negative,Negative,True
Now to wait for persona 5 😩😩😩😩,now to wait for persona,Neutral,Positive,Neutral,Neutral,Neutral,True
@user @user @user @user @user Nancy Pelosi and soooo many more w Obama masquerading as a Moderate.,nancy pelosi and soooo many more obama masquerading as moderate,Negative,Neutral,Negative,Negative,Negative,True
I needa be sleep😑,needa be sleep,Neutral,Neutral,Neutral,Neutral,Neutral,True
Leonard Cohen laid to rest in private burial ‘exactly as he'd asked’ son reveals via @user,leonard cohen laid to rest in private burial exactly as he asked son reveals via,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user @user Can I be Chanel #11 instead?😭💓#ScreamQueens,can be chanel instead screamqueens,Neutral,Positive,Negative,Neutral,Neutral,True
